fine_id,violation_code,fine,violation_desc,academic_year,violation_warning,fine_type
1,7A,$100.00,Public Safety,2024-2025,Violation,Nuisance
2,7AW,$0,Warning - Public Safety,2024-2025,Warning,Warning
3,7B,$300.00,Illegal display and/or receipt of permit or campus registered license plate,2024-2025,Violation,Fraud
4,7BW,$0,Warning - Illegal display and/or receipt of permit or campus registered license plate,2024-2025,Warning,Warning
5,7C,$300.00,Illegally parked in disabled space/transfer area,2024-2025,Violation,Safety
6,7CW,$0,Warning - Illegally parked in disabled space/transfer area,2024-2025,Warning,Warning
7,7D,$85.00,Illegally parked in a Courier permit parking space,2024-2025,Violation,Inconvenience
8,7DW,$0,Warning - Illegally parked in a Courier permit parking space,2024-2025,Warning,Warning
9,7E,$85.00,Parked in other than assigned area,2024-2025,Violation,Inconvenience
10,7EW,$0,Warning - Parked in other than assigned area,2024-2025,Warning,Warning
11,7F,$15.00,Parked outside of control lines,2024-2025,Violation,Nuisance
12,7FW,$0,Warning - Parked outside of control lines,2024-2025,Warning,Warning
13,7G,$85.00,Illegally parked in violation of posted DOTS signage,2024-2025,Violation,Inconvenience
14,7GW,$0,Warning - Illegally parked in violation of posted DOTS signage,2024-2025,Warning,Warning
15,7H,$45.00,Expired parking meter/pay station,2024-2025,Violation,Nuisance
16,7HW,$0,Warning - Expired parking meter/pay station,2024-2025,Warning,Warning
17,7I,$150.00,Illegally parked in a fire lane,2024-2025,Violation,Safety
18,7IW,$0,Warning - Illegally parked in a fire lane,2024-2025,Warning,Warning
19,7J,$85.00,Illegally parked in a Service permit-only space,2024-2025,Violation,Inconvenience
20,7JW,$0,Warning - illegally parked in a Service permit-only space,2024-2025,Warning,Warning
21,7K,$85.00,Illegally parked in a restricted lot,2024-2025,Violation,Inconvenience
22,7KW,$0,Warning - illegally parked in a restricted lot,2024-2025,Warning,Warning
23,7L,$170.00,More than one vehicle per registrant on campus at the same time (fine per vehicle),2024-2025,Violation,Fraud
24,7LW,$0,Warning - More than one vehicle per registrant on campus at the same time (fine per vehicle),2024-2025,Warning,Warning
25,7M,$50.00,Permit or campus registered license plate improperly displayed,2024-2025,Violation,Nuisance
26,7MW,$0,Warning - Permit or campus registered license plate improperly displayed,2024-2025,Warning,Warning
27,7N,$300.00,Illegally entering a controlled lot,2024-2025,Violation,Fraud
28,7NW,$0,Warning - Illegally entering a controlled lot,2024-2025,Warning,Warning
29,7P,$500.00,Illegal use of State-issued disabled permit,2024-2025,Violation,Safety
30,7PW,$0,Warning - Illegal use of State-issued disabled permit,2024-2025,Warning,Warning
31,7R,$300.00,Fraudulent use of documents/registration/validation or pin codes,2024-2025,Violation,Fraud
32,7RW,$0,Warning - Fraudulent use of documents/registration/validation or pin codes,2024-2025,Warning,Warning
33,7S,$85.00,Athletics Terrapin Club Violation,2024-2025,Violation,Inconvenience
34,7SW,$0,Warning - Athletics Terrapin Club Violation,2024-2025,Warning,Warning
35,RV,$100,Towing - Relocation Fee,2024-2025,Violation,Towing
36,RVW,$0,Warning - Towing - Relocation Fee,2024-2025,Warning,Warning
37,TV,$150,Towing - Impounding Fee,2024-2025,Violation,Towing
38,TVW,$0,Warning - Towing - Impounding Fee,2024-2025,Warning,Warning
39,7A,$100.00,Public Safety,2023-2024,Violation,Nuisance
40,7AW,$0,Warning - Public Safety,2023-2024,Warning,Warning
41,7B,$300.00,Illegal display and/or receipt of permit or campus registered license plate,2023-2024,Violation,Fraud
42,7BW,$0,Warning - Illegal display and/or receipt of permit or campus registered license plate,2023-2024,Warning,Warning
43,7C,$300.00,Illegally parked in disabled space/transfer area,2023-2024,Violation,Safety
44,7CW,$0,Warning - Illegally parked in disabled space/transfer area,2023-2024,Warning,Warning
45,7D,$85.00,Illegally parked in a Courier permit parking space,2023-2024,Violation,Inconvenience
46,7DW,$0,Warning - Illegally parked in a Courier permit parking space,2023-2024,Warning,Warning
47,7E,$85.00,Parked in other than assigned area,2023-2024,Violation,Inconvenience
48,7EW,$0,Warning - Parked in other than assigned area,2023-2024,Warning,Warning
49,7F,$15.00,Parked outside of control lines,2023-2024,Violation,Nuisance
50,7FW,$0,Warning - Parked outside of control lines,2023-2024,Warning,Warning
51,7G,$85.00,Illegally parked in violation of posted DOTS signage,2023-2024,Violation,Inconvenience
52,7GW,$0,Warning - Illegally parked in violation of posted DOTS signage,2023-2024,Warning,Warning
53,7H,$45.00,Expired parking meter/pay station,2023-2024,Violation,Nuisance
54,7HW,$0,Warning - Expired parking meter/pay station,2023-2024,Warning,Warning
55,7I,$150.00,Illegally parked in a fire lane,2023-2024,Violation,Safety
56,7IW,$0,Warning - Illegally parked in a fire lane,2023-2024,Warning,Warning
57,7J,$85.00,Illegally parked in a Service permit-only space,2023-2024,Violation,Inconvenience
58,7JW,$0,Warning - illegally parked in a Service permit-only space,2023-2024,Warning,Warning
59,7K,$85.00,Illegally parked in a restricted lot,2023-2024,Violation,Inconvenience
60,7KW,$0,Warning - illegally parked in a restricted lot,2023-2024,Warning,Warning
61,7L,$170.00,More than one vehicle per registrant on campus at the same time (fine per vehicle),2023-2024,Violation,Fraud
62,7LW,$0,Warning - More than one vehicle per registrant on campus at the same time (fine per vehicle),2023-2024,Warning,Warning
63,7M,$50.00,Permit or campus registered license plate improperly displayed,2023-2024,Violation,Nuisance
64,7MW,$0,Warning - Permit or campus registered license plate improperly displayed,2023-2024,Warning,Warning
65,7N,$300.00,Illegally entering a controlled lot,2023-2024,Violation,Fraud
66,7NW,$0,Warning - Illegally entering a controlled lot,2023-2024,Warning,Warning
67,7P,$500.00,Illegal use of State-issued disabled permit,2023-2024,Violation,Safety
68,7PW,$0,Warning - Illegal use of State-issued disabled permit,2023-2024,Warning,Warning
69,7R,$300.00,Fraudulent use of documents/registration/validation or pin codes,2023-2024,Violation,Fraud
70,7RW,$0,Warning - Fraudulent use of documents/registration/validation or pin codes,2023-2024,Warning,Warning
71,7S,$85.00,Athletics Terrapin Club Violation,2023-2024,Violation,Inconvenience
72,7SW,$0,Warning - Athletics Terrapin Club Violation,2023-2024,Warning,Warning
73,RV,$100,Towing - Relocation Fee,2023-2024,Violation,Towing
74,RVW,$0,Warning - Towing - Relocation Fee,2023-2024,Warning,Warning
75,TV,$150,Towing - Impounding Fee,2023-2024,Violation,Towing
76,TVW,$0,Warning - Towing - Impounding Fee,2023-2024,Warning,Warning
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
